movie_name,released_year,genre,duration_min,user_rating,critics_rating,votes
Shaft,2019,"Action, Comedy, Crime",111,6.4,40,28355
John Wick: Chapter 2,2017,"Action, Crime, Thriller",122,7.5,75,312994
Black Panther,2018,"Action, Adventure, Sci-Fi",134,7.3,88,541435
Power Rangers,2017,"Action, Adventure, Sci-Fi",124,5.9,44,94914
Overcomer,2019,"Drama, Sport",119,6.7,17,1329
Hotel Mumbai,2018,"Drama, History, Thriller",123,7.6,64,29610
Prospect,2018,"Drama, Sci-Fi, Thriller",100,6.1,68,11644
Baby Driver,2017,"Action, Crime, Drama",113,7.6,86,380854
Star Wars: Episode VIII - The Last Jedi,2017,"Action, Adventure, Fantasy",152,7.1,85,475920
Venom,2018,"Action, Sci-Fi, Thriller",112,6.7,35,303750
The Farewell I ,2019,"Comedy, Drama",100,8.1,89,6925
Mother!,2017,"Drama, Horror, Mystery",121,6.6,75,164136
Murder Mystery,2019,"Action, Comedy, Crime",97,6.0,38,68118
Monos,2019,"Drama, Thriller",102,7.5,75,1634
Honey Boy,2019,Drama,93,6.3,65,468
A Rainy Day in New York,2019,"Comedy, Romance",92,6.9,44,2225
First Man,2018,"Biography, Drama, History",141,7.3,84,134670
Crawl,2019,"Action, Drama, Horror",87,6.5,60,16685
Vice I ,2018,"Biography, Comedy, Drama",132,7.2,61,86653
Valerian and the City of a Thousand Planets,2017,"Action, Adventure, Fantasy",137,6.5,51,144698
Solo: A Star Wars Story,2018,"Action, Adventure, Fantasy",135,6.9,62,237085
Jurassic World: Fallen Kingdom,2018,"Action, Adventure, Sci-Fi",128,6.2,51,229347
The Mummy,2017,"Action, Adventure, Fantasy",110,5.5,34,158782
Five Feet Apart,2019,"Drama, Romance",116,7.2,53,22336
The Angry Birds Movie 2,2019,"Animation, Adventure, Comedy",97,6.5,60,4271
Halloween I ,2018,"Horror, Thriller",106,6.6,67,96362
Red Sparrow,2018,"Action, Drama, Thriller",140,6.6,53,143048
47 Meters Down: Uncaged,2019,"Adventure, Drama, Horror",90,5.1,43,2903
Baywatch,2017,"Action, Comedy, Crime",116,5.5,37,143291
Logan,2017,"Action, Drama, Sci-Fi",137,8.1,77,577490
Dunkirk,2017,"Action, Drama, History",106,7.9,94,480957
Mary Poppins Returns,2018,"Comedy, Family, Fantasy",130,6.8,66,60954
Widows,2018,"Crime, Drama, Thriller",129,6.9,84,69608
BlacKkKlansman,2018,"Biography, Crime, Drama",135,7.5,83,163713
Annihilation,2018,"Adventure, Drama, Horror",115,6.9,79,239277
Jumanji: Welcome to the Jungle,2017,"Action, Adventure, Comedy",119,6.9,58,252925
The Kitchen,2019,"Action, Crime, Drama",102,5.2,36,3126
Serenity,2019,"Drama, Mystery, Thriller",106,5.3,37,24526
The Hitman's Bodyguard,2017,"Action, Comedy, Thriller",118,6.9,47,166388
How to Train Your Dragon: The Hidden World,2019,"Animation, Action, Adventure",104,7.5,71,74404
The Poison Rose,2019,"Drama, Thriller",98,4.5,30,2737
A Hidden Life,2019,"Biography, Drama, War",173,7.3,76,453
Ready Player One,2018,"Action, Adventure, Sci-Fi",140,7.5,64,315635
Pirates of the Caribbean: Dead Men Tell No Tales,2017,"Action, Adventure, Fantasy",129,6.6,39,234994
Angel of Mine,2019,"Drama, Mystery, Thriller",98,6.8,47,2911
Suspiria I ,2018,"Fantasy, Horror, Mystery",152,6.8,64,43814
Pet Sematary,2019,"Horror, Mystery, Thriller",101,5.8,57,57578
Hunter Killer,2018,"Action, Thriller",122,6.6,43,39766
Wonder Woman,2017,"Action, Adventure, Fantasy",141,7.4,76,500920
The Happytime Murders,2018,"Action, Comedy, Crime",91,5.4,27,19709
The Art of Racing in the Rain,2019,"Comedy, Drama, Romance",109,7.4,43,3423
Beauty and the Beast,2017,"Family, Fantasy, Musical",129,7.2,65,245301
A Dog's Journey,2019,"Adventure, Comedy, Drama",109,7.4,43,8362
Bird Box,2018,"Drama, Horror, Sci-Fi",124,6.6,51,233028
Tolkien,2019,"Biography, Drama, War",112,6.8,48,14861
Cold Pursuit,2019,"Action, Crime, Drama",119,6.2,57,37788
The Shape of Water,2017,"Adventure, Drama, Fantasy",123,7.3,87,320554
The Curse of La Llorona,2019,"Horror, Mystery, Thriller",93,5.4,41,23979
Wonder I ,2017,"Drama, Family",113,8.0,66,116310
The Beach Bum,2019,Comedy,95,5.5,55,10746
Coco I ,2017,"Animation, Adventure, Family",105,8.4,81,295584
Dragged Across Concrete,2018,"Action, Crime, Drama",159,7.0,60,22198
The Meg,2018,"Action, Horror, Sci-Fi",113,5.7,46,124096
